开心鬼放暑假　　　　　　　	real: 7.2　　	predict: 6.4  	accuracy: 94.1%
校园档案　　　　　　　　　	real: 7.8　　	predict: 6.92 	accuracy: 94.01%
捉鬼大师　　　　　　　　　	real: 6.4　　	predict: 5.68 	accuracy: 94.01%
恭喜发财　　　　　　　　　	real: 6.6　　	predict: 5.85 	accuracy: 94.0%
鬼马神偷　　　　　　　　　	real: 5.7　　	predict: 5.05 	accuracy: 93.99%
老莫的第二个春天　　　　　	real: 7.8　　	predict: 6.91 	accuracy: 93.92%
何必有我?　　　　　　　　	real: 7.9　　	predict: 6.99 	accuracy: 93.91%
呆佬拜寿　　　　　　　　　	real: 7.5　　	predict: 6.64 	accuracy: 93.9%
庙街故事　　　　　　　　　	real: 6.5　　	predict: 7.35 	accuracy: 93.88%
烂滚夫斗烂滚妻　　　　　　	real: 5.1　　	predict: 5.77 	accuracy: 93.86%
七月十三之龙婆　　　　　　	real: 6.1　　	predict: 6.9  	accuracy: 93.85%
音乐僵尸　　　　　　　　　	real: 6.8　　	predict: 6.01 	accuracy: 93.8%
笨小孩　　　　　　　　　　	real: 7.5　　	predict: 6.62 	accuracy: 93.79%
标错参　　　　　　　　　　	real: 6.9　　	predict: 6.09 	accuracy: 93.76%
大钓哥　　　　　　　　　　	real: 5.1　　	predict: 5.78 	accuracy: 93.76%
游园惊梦　　　　　　　　　	real: 7.6　　	predict: 6.7  	accuracy: 93.73%
凶猫　　　　　　　　　　　	real: 6.4　　	predict: 5.64 	accuracy: 93.7%
新扎师兄追女仔　　　　　　	real: 6.4　　	predict: 5.62 	accuracy: 93.49%
追女仔　　　　　　　　　　	real: 6.5　　	predict: 5.7  	accuracy: 93.47%
逃学威龙3之龙过鸡年　　　	real: 7.3　　	predict: 6.4  	accuracy: 93.46%
哑女情深　　　　　　　　　	real: 6.0　　	predict: 6.84 	accuracy: 93.46%
失业特工队　　　　　　　　	real: 6.6　　	predict: 5.78 	accuracy: 93.41%
男歌女唱　　　　　　　　　	real: 7.1　　	predict: 6.22 	accuracy: 93.4%
国四英雄传　　　　　　　　	real: 7.9　　	predict: 6.92 	accuracy: 93.38%
灼人秘密　　　　　　　　　	real: 5.8　　	predict: 6.62 	accuracy: 93.37%
赌侠　　　　　　　　　　　	real: 7.6　　	predict: 6.65 	accuracy: 93.31%
失婚老豆　　　　　　　　　	real: 7.3　　	predict: 6.37 	accuracy: 93.2%
偷偷爱你　　　　　　　　　	real: 7.8　　	predict: 6.8  	accuracy: 93.15%
花田喜事　　　　　　　　　	real: 7.5　　	predict: 8.61 	accuracy: 93.12%
新同居时代　　　　　　　　	real: 6.9　　	predict: 7.92 	accuracy: 93.09%
花月佳期　　　　　　　　　	real: 7.9　　	predict: 6.88 	accuracy: 93.09%
不准掉头　　　　　　　　　	real: 5.5　　	predict: 6.32 	accuracy: 93.08%
火星没事　　　　　　　　　	real: 4.9　　	predict: 5.63 	accuracy: 93.06%
古惑仔情义篇之洪兴十三妹　	real: 7.2　　	predict: 6.26 	accuracy: 93.03%
友情岁月山鸡故事　　　　　	real: 7.3　　	predict: 6.34 	accuracy: 92.99%
鸡同鸭讲　　　　　　　　　	real: 7.7　　	predict: 6.69 	accuracy: 92.96%
黑玫瑰义结金兰　　　　　　	real: 6.9　　	predict: 5.99 	accuracy: 92.94%
花心梦里人　　　　　　　　	real: 6.5　　	predict: 5.64 	accuracy: 92.93%
滚滚红尘　　　　　　　　　	real: 8.2　　	predict: 7.1  	accuracy: 92.8%
分手说爱你　　　　　　　　	real: 7.4　　	predict: 6.4  	accuracy: 92.77%
少林活宝贝　　　　　　　　	real: 6.2　　	predict: 5.36 	accuracy: 92.75%
最佳损友闯情关　　　　　　	real: 6.6　　	predict: 5.7  	accuracy: 92.7%
最好的时光　　　　　　　　	real: 7.6　　	predict: 6.56 	accuracy: 92.65%
替枪老豆　　　　　　　　　	real: 6.5　　	predict: 5.61 	accuracy: 92.63%
金鸡SSS　　　　　　　　	real: 6.2　　	predict: 7.19 	accuracy: 92.63%
错体人　　　　　　　　　　	real: 6.5　　	predict: 5.6  	accuracy: 92.54%
